,Neighborhood,City,State,latlon,zipcode
90,Meyer Park,Tempe,Arizona,"33.39978, -111.915298",
91,Tempe Royal Estates,Tempe,Arizona,"33.341132, -111.883225",85224.0
92,Blenman-Elm,Tucson,Arizona,"32.19709, -110.828987",85710.0
93,Pueblo Gardens,Tucson,Arizona,"32.19709, -110.828987",85710.0
94,Pepperwood,Tempe,Arizona,"33.368162, -111.945864",85283.0
95,A Mountain,Tucson,Arizona,"32.19709, -110.828987",85710.0
96,Miramonte,Tucson,Arizona,"32.19709, -110.828987",85710.0
97,South Park,Tucson,Arizona,"32.19709, -110.828987",85710.0
98,Fountain of the Sun,Mesa,Arizona,"33.4012, -111.659456",85208.0
99,Leisure World,Mesa,Arizona,"33.402307, -111.695907",
100,Trilogy,Gilbert,Arizona,"33.257519, -111.694236",85297.0
101,Sunland Springs Village,Mesa,Arizona,"33.365695, -111.595408",
102,Sunnyside,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
103,Jefferson Park,Tucson,Arizona,"32.19709, -110.828987",85710.0
104,Westgreen Estates,Peoria,Arizona,"33.787936, -112.33035",
105,Hearthstone,Chandler,Arizona,"32.18841, -110.80397",
106,Civano,Tucson,Arizona,"32.158174, -110.76377",85747.0
107,Twelve Oaks,Chandler,Arizona,"33.310045, -111.861363",85224.0
108,Bravo Park Lane,Tucson,Arizona,"32.19709, -110.828987",85710.0
109,Barrio Hollywood,Tucson,Arizona,"32.19709, -110.828987",85710.0
110,Rincon Heights,Tucson,Arizona,"32.19709, -110.828987",85710.0
111,Via De Cielo,Chandler,Arizona,"33.310045, -111.861363",85224.0
112,Desert Harbor,Peoria,Arizona,"33.61779, -112.249622",
113,Miracle Manor,Tucson,Arizona,"32.244581, -110.976991",
114,Carino Estates,Chandler,Arizona,"33.310045, -111.861363",85224.0
115,Old Fort Lowell,Tucson,Arizona,"32.260921, -110.882511",85712.0
116,Thunderbird Palms,Glendale,Arizona,"33.607654, -112.183332",85306.0
117,Feldman's,Tucson,Arizona,,
118,Golden Hills,Mesa,Arizona,"33.40091, -111.67961",85208.0
119,Fiesta Park Village,Mesa,Arizona,"33.398652, -111.850438",
120,Springfield Lakes,Chandler,Arizona,"33.310045, -111.861363",85224.0
121,The Lakes,Tempe,Arizona,"33.374752, -111.919821",85283.0
122,El G.H.E.K.O.,Tucson,Arizona,"32.21613, -110.920683",85716.0
123,Ventana Lakes,Peoria,Arizona,"32.469778, -112.244177",
124,Oak Flower,Tucson,Arizona,"33.670242, -112.072294",85027.0
125,St. Cyrils,Tucson,Arizona,"32.19709, -110.828987",85710.0
126,Red Mountain Ranch,Mesa,Arizona,"33.488153, -111.693863",85215.0
127,Arroyo Chico,Tucson,Arizona,"32.19709, -110.828987",85710.0
128,C.A.N.D.O.,Mesa,Arizona,"33.418934, -111.844242",85201.0
129,Bethany Heights,Glendale,Arizona,"33.540229, -112.185256",
130,Fairgrounds,Tucson,Arizona,"32.169555, -110.96641",85714.0
131,Prince Tucson,Tucson,Arizona,"32.206194, -110.961684",85713.0
132,North Dodge,Tucson,Arizona,"32.19709, -110.828987",85710.0
133,Colonia Del Valle,Tucson,Arizona,"32.19709, -110.828987",85710.0
134,Peter Howell,Tucson,Arizona,"32.19709, -110.828987",85710.0
135,Troon North,Scottsdale,Arizona,"33.739295, -111.851265",85262.0
136,Harlan Heights,Tucson,Arizona,"32.19709, -110.828987",85710.0
137,Dodge Flower,Tucson,Arizona,"32.289423, -110.98631",85705.0
138,Dexter,Prescott,Arizona,"34.550857, -112.471558",
139,Las Vistas,Tucson,Arizona,"32.19709, -110.828987",85710.0
140,Troon,Scottsdale,Arizona,"33.729911, -111.856703",85262.0
141,Casa de Sol,Mesa,Arizona,"33.432578, -111.873503",85201.0
142,Rose,Tucson,Arizona,"32.19709, -110.828987",85710.0
143,Doolen-Fruitvale,Tucson,Arizona,"32.252171, -110.92534",
144,Cabrini,Tucson,Arizona,"32.19709, -110.828987",85710.0
145,Country Club Estates,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
146,Via Sorento,Gilbert,Arizona,"33.581915, -111.856626",85258.0
147,Villagio at Tempe,Tempe,Arizona,"33.349997, -111.965543",85284.0
148,Rosemont West,Tucson,Arizona,"32.19709, -110.828987",85710.0
149,Camino del Rey,Mesa,Arizona,"33.655631, -112.358602",85375.0
150,Sunbird,Chandler,Arizona,"33.215652, -111.812724",85249.0
151,Vista Del Monte,Tucson,Arizona,"32.19709, -110.828987",85710.0
152,Wood Park,Tempe,Arizona,"32.060764, -109.315631",
153,Enchanted Hills,Tucson,Arizona,"32.19709, -110.828987",85710.0
154,Winfield,Scottsdale,Arizona,"33.4956, -111.9207",
155,Rancho del Lago,Mesa,Arizona,"32.059551, -110.697253",
156,Mountain First Avenue,Tucson,Arizona,"32.19709, -110.828987",85710.0
157,Marlborough Mesa,Mesa,Arizona,"33.360686, -111.855883",85210.0
158,Dava-Lakeshore,Tempe,Arizona,"33.352402, -111.915642",85283.0
159,Apache Wells,Mesa,Arizona,"33.459316, -111.709831",85215.0
160,Stonegate,Scottsdale,Arizona,"33.572667, -111.820717",85259.0
161,Sundown Ranch,Scottsdale,Arizona,"34.38337, -110.42234",
162,Park Village,Gilbert,Arizona,"33.365805, -111.857876",
163,Avondale,Tucson,Arizona,"32.239723, -110.887992",
164,Legend Trail,Scottsdale,Arizona,"33.772798, -111.861978",
165,University Heights/Highlands,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
166,Villa Monterey,Scottsdale,Arizona,"33.50754, -111.90848",
167,Swan Way Park,Tucson,Arizona,"32.201898, -110.89397",
168,Northwest,Tucson,Arizona,"32.239677, -110.967891",85705.0
169,Countrybrook Meadows,Peoria,Arizona,"33.787936, -112.33035",
170,San Gabriel,Tucson,Arizona,"32.19709, -110.828987",85710.0
171,La Madera,Tucson,Arizona,"32.19709, -110.828987",85710.0
172,Mountain View,Tucson,Arizona,"32.19709, -110.828987",85710.0
173,Trails at Scottsdale,Scottsdale,Arizona,"33.490708, -111.919151",
174,Samos,Tucson,Arizona,"32.19709, -110.828987",85710.0
175,Country Glenn,Tucson,Arizona,"32.257943, -110.946209",
176,Gainey Ranch,Scottsdale,Arizona,"33.687647, -111.856562",85255.0
177,Woodglen,Chandler,Arizona,"33.353769, -111.864808",85224.0
178,Royal Palms,Mesa,Arizona,"36.813514, -114.03974",86432.0
179,Campbell-Grant,Tucson,Arizona,"32.264166, -110.945084",
180,Ironwood Village,Scottsdale,Arizona,"33.426859, -111.564525",85120.0
181,Marlborough Park,Tempe,Arizona,"33.44754, -111.92959",85281.0
182,The Gardens,Gilbert,Arizona,"33.260986, -111.869838",
183,Marilyn Ann,Tempe,Arizona,"33.41023, -111.949761",
184,Southern Manor I and II,Mesa,Arizona,"33.590294, -111.960101",85254.0
185,Forest Springs,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
186,Poets Square,Tucson,Arizona,"32.19709, -110.828987",85710.0
187,Springfield,Chandler,Arizona,"33.310045, -111.861363",85224.0
188,Sun Air Estates,Peoria,Arizona,"33.557989, -112.277022",
189,Olive Green Villas,Glendale,Arizona,"33.565891, -112.188661",
190,Camelot Estates,Mesa,Arizona,"33.422793, -111.765222",85213.0
191,Del Valle Terrace,Yuma,Arizona,"32.553325, -114.510731",
192,Park Center Place,Mesa,Arizona,"33.430989, -111.829952",85201.0
193,Starr Pass,Tucson,Arizona,"32.19709, -110.828987",85710.0
194,Sunridge,Chandler,Arizona,"33.310045, -111.861363",85224.0
195,Mesa Heights,Yuma,Arizona,"32.553325, -114.510731",
196,Continental Townhouses,Mesa,Arizona,"33.419431, -111.85931",
197,The Wells,Mesa,Arizona,"33.45977, -111.704471",
198,Heatherbrook,Chandler,Arizona,"33.310045, -111.861363",85224.0
199,Val Vista Classic,Gilbert,Arizona,"33.261839, -111.75715",85298.0
200,Bellasera,Scottsdale,Arizona,,
201,Moondance,Mesa,Arizona,"33.44571, -111.677783",
202,Chaparral Ranch,Glendale,Arizona,"33.638822, -112.178307",
203,Sunset Mountain Villas,Yuma,Arizona,"32.674773, -114.474343",
204,Sun View,Gilbert,Arizona,"32.663062, -114.636244",85365.0
205,Greenwood Glen,Mesa,Arizona,"33.322446, -111.613833",
206,Suncrest Villas Chandler,Chandler,Arizona,"33.297572, -111.92926",85226.0
207,Rosemont East,Tucson,Arizona,"32.19709, -110.828987",85710.0
208,Udall Park,Tucson,Arizona,"34.11393, -109.59926",
209,Flagstaff Townsite,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
210,Power Ranch,Gilbert,Arizona,"33.27382, -111.695412",85297.0
211,Adora Trails,Gilbert,Arizona,"33.213165, -111.735279",
212,Bella Vista,Gilbert,Arizona,"33.302331, -111.756704",
213,Valencia West,Tucson,Arizona,"32.19709, -110.828987",85710.0
214,Tierra Del Rio,Peoria,Arizona,"33.787936, -112.33035",
215,Araby Crossing,Yuma,Arizona,"32.553325, -114.510731",
216,Desert Oasis,Yuma,Arizona,"32.667796, -114.504598",
217,Littletown,Tucson,Arizona,"32.13921, -110.868432",
218,Spectrum,Gilbert,Arizona,"33.299195, -111.762067",85295.0
219,Sun Groves,Chandler,Arizona,"33.212388, -111.765082",
220,San Tan Ranch,Gilbert,Arizona,"33.17866, -111.592814",85142.0
221,Sage Creek,Avondale,Arizona,"33.301136, -112.331817",
