,Neighborhood,City,State
141,Casa de Sol,Mesa,Arizona
142,Rose,Tucson,Arizona
143,Doolen-Fruitvale,Tucson,Arizona
144,Cabrini,Tucson,Arizona
145,Country Club Estates,Flagstaff,Arizona
146,Via Sorento,Gilbert,Arizona
147,Villagio at Tempe,Tempe,Arizona
148,Rosemont West,Tucson,Arizona
149,Camino del Rey,Mesa,Arizona
150,Sunbird,Chandler,Arizona
151,Vista Del Monte,Tucson,Arizona
152,Wood Park,Tempe,Arizona
153,Enchanted Hills,Tucson,Arizona
154,Winfield,Scottsdale,Arizona
155,Rancho del Lago,Mesa,Arizona
156,Mountain First Avenue,Tucson,Arizona
157,Marlborough Mesa,Mesa,Arizona
158,Dava-Lakeshore,Tempe,Arizona
159,Apache Wells,Mesa,Arizona
160,Stonegate,Scottsdale,Arizona
161,Sundown Ranch,Scottsdale,Arizona
162,Park Village,Gilbert,Arizona
163,Avondale,Tucson,Arizona
164,Legend Trail,Scottsdale,Arizona
165,University Heights/Highlands,Flagstaff,Arizona
166,Villa Monterey,Scottsdale,Arizona
167,Swan Way Park,Tucson,Arizona
168,Northwest,Tucson,Arizona
169,Countrybrook Meadows,Peoria,Arizona
170,San Gabriel,Tucson,Arizona
171,La Madera,Tucson,Arizona
172,Mountain View,Tucson,Arizona
173,Trails at Scottsdale,Scottsdale,Arizona
174,Samos,Tucson,Arizona
175,Country Glenn,Tucson,Arizona
176,Gainey Ranch,Scottsdale,Arizona
177,Woodglen,Chandler,Arizona
178,Royal Palms,Mesa,Arizona
179,Campbell-Grant,Tucson,Arizona
180,Ironwood Village,Scottsdale,Arizona
181,Marlborough Park,Tempe,Arizona
182,The Gardens,Gilbert,Arizona
183,Marilyn Ann,Tempe,Arizona
184,Southern Manor I and II,Mesa,Arizona
185,Forest Springs,Flagstaff,Arizona
186,Poets Square,Tucson,Arizona
187,Springfield,Chandler,Arizona
188,Sun Air Estates,Peoria,Arizona
189,Olive Green Villas,Glendale,Arizona
190,Camelot Estates,Mesa,Arizona
191,Del Valle Terrace,Yuma,Arizona
192,Park Center Place,Mesa,Arizona
193,Starr Pass,Tucson,Arizona
194,Sunridge,Chandler,Arizona
195,Mesa Heights,Yuma,Arizona
196,Continental Townhouses,Mesa,Arizona
197,The Wells,Mesa,Arizona
198,Heatherbrook,Chandler,Arizona
199,Val Vista Classic,Gilbert,Arizona
200,Bellasera,Scottsdale,Arizona
201,Moondance,Mesa,Arizona
202,Chaparral Ranch,Glendale,Arizona
203,Sunset Mountain Villas,Yuma,Arizona
204,Sun View,Gilbert,Arizona
205,Greenwood Glen,Mesa,Arizona
206,Suncrest Villas Chandler,Chandler,Arizona
207,Rosemont East,Tucson,Arizona
208,Udall Park,Tucson,Arizona
209,Flagstaff Townsite,Flagstaff,Arizona
210,Power Ranch,Gilbert,Arizona
211,Adora Trails,Gilbert,Arizona
212,Bella Vista,Gilbert,Arizona
213,Valencia West,Tucson,Arizona
214,Tierra Del Rio,Peoria,Arizona
215,Araby Crossing,Yuma,Arizona
216,Desert Oasis,Yuma,Arizona
217,Littletown,Tucson,Arizona
218,Spectrum,Gilbert,Arizona
219,Sun Groves,Chandler,Arizona
220,San Tan Ranch,Gilbert,Arizona
221,Sage Creek,Avondale,Arizona
222,Saguaro Canyon,Chandler,Arizona
223,Garden Lakes,Avondale,Arizona
224,Coldwater Springs,Avondale,Arizona
225,Bennett Estates,Flagstaff,Arizona
226,Ponderosa Trails,Flagstaff,Arizona
227,Camino A Lago,Peoria,Arizona
228,Galveston,Chandler,Arizona
229,Peoria Ave,Glendale,Arizona
230,Rio Vista,Phoenix,Arizona
231,Rancho Santa Fe,Avondale,Arizona
232,Terramar,Peoria,Arizona
233,Eastside,Tucson,Arizona
234,Cooper Commons,Chandler,Arizona
235,Elliot Groves At Morrision Ranch,Gilbert,Arizona
236,Fletcher Heights,Peoria,Arizona
237,Chandler Ginning,Gilbert,Arizona
238,Desert Ridge,Yuma,Arizona
239,Castle View,Yuma,Arizona
240,Las Brisas,Yuma,Arizona
241,Pioneer,Glendale,Arizona
242,Dobson Woods,Mesa,Arizona
243,Drexel-Alvernon,Tucson,Arizona
244,United Amigos,Mesa,Arizona
245,Coronado Ranch,Gilbert,Arizona
246,Hilcrest Ranch,Glendale,Arizona
247,Finley Farms,Gilbert,Arizona
248,Parkwood Ranch,Mesa,Arizona
249,Cooley Station,Gilbert,Arizona
250,Roundtree Ranch,Peoria,Arizona
251,Sunrise,Glendale,Arizona
252,Bridges at Gilbert,Gilbert,Arizona
253,Rancho Del Ray,Chandler,Arizona
254,Cavalier Dale,Glendale,Arizona
255,Stonefield,Chandler,Arizona
256,Community Fiesta,Mesa,Arizona
257,Dove Valley Ranch,Peoria,Arizona
258,The Traditions,Chandler,Arizona
259,Ocotillo Rose,Glendale,Arizona
260,Glenhurst,Avondale,Arizona
261,Fulton Ranch,Chandler,Arizona
262,Santa Cruz Southwest,Tucson,Arizona
263,Las Brisas Pointe,Glendale,Arizona
264,Buckhorn,Mesa,Arizona
265,Houghton,Tucson,Arizona
266,Summit,Tucson,Arizona
267,Chaparral Estates,Gilbert,Arizona
268,Festiva Court,Chandler,Arizona
269,West Plaza Estates,Glendale,Arizona
270,Cashion,Avondale,Arizona
271,Warner Ranch,Tempe,Arizona
272,The Meadows,Peoria,Arizona
273,Roberts,Tucson,Arizona
274,Pecos Manor,Gilbert,Arizona
275,Villages of Eastridge,Mesa,Arizona
276,Meridian Pointe,Mesa,Arizona
277,Sun Meadows,Chandler,Arizona
278,El Dorado at the Highlands,Gilbert,Arizona
279,Crystal Garden,Avondale,Arizona
280,Drexel Park,Tucson,Arizona
281,Hacienda Estates,Yuma,Arizona
282,Bridlewood,Peoria,Arizona
283,Granite Run,Peoria,Arizona
284,Cole Park,Tempe,Arizona
285,Sahuaro Park West,Glendale,Arizona
286,Hartford Village,Chandler,Arizona
287,Breckenridge Manor,Gilbert,Arizona
288,Ashland Ranch,Gilbert,Arizona
289,Upland Park,Avondale,Arizona
290,Northgrove,Mesa,Arizona
291,Paseo Trail,Chandler,Arizona
292,Orchard Glen,Glendale,Arizona
293,Rancho Buena,Tucson,Arizona
294,El Rio Acres,Tucson,Arizona
295,Lagos Vistoso,Chandler,Arizona
296,Bell,Glendale,Arizona
297,Tempe South Mountain,Tempe,Arizona
298,Sierra Sunset,Yuma,Arizona
299,Signal Butte Manor,Mesa,Arizona
300,Western Skies,Gilbert,Arizona
301,Walnut Meadows,Flagstaff,Arizona
302,Presidio in the Pines,Flagstaff,Arizona
303,Trail Estates,Yuma,Arizona
304,Agritopia,Gilbert,Arizona
305,Cottage Grove Estates,Mesa,Arizona
306,West Glen,Glendale,Arizona
307,Cox Heights,Scottsdale,Arizona
308,Crossings at Crossroads,Gilbert,Arizona
309,Vista del Sol,Yuma,Arizona
310,Home Place,Chandler,Arizona
311,Tres Rios Landing,Avondale,Arizona
312,Crystal Point,Avondale,Arizona
313,Kiwanis Park,Tempe,Arizona
314,Shamrock Estates,Gilbert,Arizona
315,Holdeman,Tempe,Arizona
316,Indian Bend,Tempe,Arizona
317,Boardwalk,Peoria,Arizona
318,Andersen Springs,Chandler,Arizona
319,Saguaro Miraflores,Tucson,Arizona
320,Papago Park View,Tempe,Arizona
321,Fox Crossing,Chandler,Arizona
322,Windmills West,Chandler,Arizona
323,Saratoga Square,Chandler,Arizona
324,Sweetwater Estates,Glendale,Arizona
325,Gililland,Tempe,Arizona
326,Gilbert Ranch,Gilbert,Arizona
327,Windscape,Peoria,Arizona
328,Lakeview Trails,Gilbert,Arizona
329,Cambridge Estates,Avondale,Arizona
330,Windgate Ranch,Scottsdale,Arizona
331,Paseo,Scottsdale,Arizona
332,Towne Meadows,Gilbert,Arizona
333,Silverhawke,Gilbert,Arizona
334,Parkridge,Peoria,Arizona
335,Swiss Manor,Flagstaff,Arizona
336,Westwing Mountain,Peoria,Arizona
337,Stonegate Estates,Mesa,Arizona
338,Falls Ranch,Yuma,Arizona
339,Powell Estates,Mesa,Arizona
340,The Terraces at the View,Yuma,Arizona
341,Rovey Farm Estates,Glendale,Arizona
342,Higley Groves,Gilbert,Arizona
343,Carrington Place,Chandler,Arizona
344,Orangewood Estates,Glendale,Arizona
345,Highland Groves At Morrison Ranch,Gilbert,Arizona
346,Bear Canyon,Tucson,Arizona
347,Sonoma Ranch,Gilbert,Arizona
348,Corte Sierra,Avondale,Arizona
349,Desert Springs,Glendale,Arizona
350,Coldwater Ridge,Avondale,Arizona
351,Morrision Ranch,Gilbert,Arizona
352,Ray Manor,Chandler,Arizona
353,Village Grove,Scottsdale,Arizona
354,Santa Rita Ranch,Mesa,Arizona
355,Dobson Place,Chandler,Arizona
356,Lago Estancia,Gilbert,Arizona
357,Rural-Geneva,Tempe,Arizona
358,Rancho Sereno,Yuma,Arizona
359,Ashley Park,Chandler,Arizona
360,Crestview Court,Chandler,Arizona
361,Madera Parc,Gilbert,Arizona
362,University Heights,Tempe,Arizona
363,Suntown,Peoria,Arizona
364,Sewell,Tucson,Arizona
365,La Paloma Estates,Yuma,Arizona
366,Balboa Way,Chandler,Arizona
367,Tiburon,Chandler,Arizona
368,Paradise Park,Scottsdale,Arizona
369,Optimist Park NE,Tempe,Arizona
370,Mountain Ranch,Mesa,Arizona
371,Knoell East,Chandler,Arizona
372,Northpointe,Mesa,Arizona
373,Wind Drift,Gilbert,Arizona
374,Sweetwater,Scottsdale,Arizona
375,Hughes Acres,Tempe,Arizona
376,Lindsay Ranch,Gilbert,Arizona
377,Greenfield Lakes,Gilbert,Arizona
378,Tucson Park West No.1,Tucson,Arizona
379,New World,Glendale,Arizona
380,Cibola Heights,Yuma,Arizona
381,Arrowhead Lakes,Glendale,Arizona
382,Toumey Park,Tucson,Arizona
383,Hohokam Village,Mesa,Arizona
384,Parkview,Peoria,Arizona
385,Fraser Fields,Mesa,Arizona
386,Sonoran Hills,Scottsdale,Arizona
